"genre","series_title","gross","imdb_rating","director"
"Comedy, Crime, Drama","The King of Comedy",2500000,"7.8","Martin Scorsese"
"Comedy, Mystery, Romance","Charade",13474588,"7.9","Stanley Donen"
"Comedy, Horror","Shaun of the Dead",13542874,"7.9","Edgar Wright"
"Comedy, Crime, Drama","American Psycho",15070285,"7.6","Mary Harron"
"Comedy, Crime, Sport","The Big Lebowski",17498804,"8.1","Joel Coen"
"Comedy, Music, Musical","A Hard Day's Night",13780024,"7.6","Richard Lester"
"Comedy, Drama","Mr. Smith Goes to Washington",9600000,"8.1","Frank Capra"
"Comedy, Crime, Drama","Paper Moon",30933743,"8.1","Peter Bogdanovich"
"Comedy, Romance","It Happened One Night",4360000,"8.1","Frank Capra"
"Comedy, Crime, Drama","In Bruges",7757130,"7.9","Martin McDonagh"
"Comedy","Le dîner de cons",4065116,"7.7","Francis Veber"
"Comedy, Romance","Vicky Donor",169209,"7.8","Shoojit Sircar"
"Comedy, Drama","The Truman Show",125618201,"8.1","Peter Weir"
