"genre","series_title","gross","imdb_rating","director"
"Drama, Sci-Fi, Thriller","The Butterfly Effect",57938693,"7.6","Eric Bress"
"Drama","Udaan",7461,"8.2","Vikramaditya Motwane"
"Drama, Sci-Fi, Thriller","Gravity",274092705,"7.7","Alfonso Cuarón"
"Drama, Mystery, Romance","Hable con ella",9284265,"7.9","Pedro Almodóvar"
"Drama","Manchester by the Sea",47695120,"7.8","Kenneth Lonergan"
"Drama, Romance","Hævnen",1008098,"7.6","Susanne Bier"
"Drama, Romance, War","From Here to Eternity",30500000,"7.6","Fred Zinnemann"
"Drama","I, Daniel Blake",258168,"7.9","Ken Loach"
"Drama, Romance","Portrait de la jeune fille en feu",3759854,"8.1","Céline Sciamma"
"Drama, Thriller","Black Swan",106954678,"8","Darren Aronofsky"
"Drama, War","The Thin Red Line",36400491,"7.6","Terrence Malick"
"Drama, Romance","Brokeback Mountain",83043761,"7.7","Ang Lee"
"Drama","Todo sobre mi madre",8264530,"7.8","Pedro Almodóvar"
"Drama, Mystery","Le passé",1330596,"7.8","Asghar Farhadi"
"Drama","Nelyubov",566356,"7.6","Andrey Zvyagintsev"
"Drama, Romance","Nuovo Cinema Paradiso",11990401,"8.5","Giuseppe Tornatore"
"Drama","The Visitor",9422422,"7.6","Tom McCarthy"
"Drama, Film-Noir","Ace in the Hole",3969893,"8.1","Billy Wilder"
"Drama, Mystery, Romance","Atonement",50927067,"7.8","Joe Wright"
"Drama, Western","Unforgiven",101157447,"8.2","Clint Eastwood"
"Drama","Festen",1647780,"8","Thomas Vinterberg"
"Drama","On Golden Pond",119285432,"7.6","Mark Rydell"
"Drama","Mustang",845464,"7.6","Deniz Gamze Ergüven"
"Drama, Mystery, Sci-Fi","Moon",5009677,"7.9","Duncan Jones"
"Drama","Il conformista",541940,"8","Bernardo Bertolucci"
"Drama, Romance","The Bridges of Madison County",71516617,"7.6","Clint Eastwood"
"Drama","Y tu mamá también",13622333,"7.6","Alfonso Cuarón"
"Drama, Mystery","Darbareye Elly",106662,"8","Asghar Farhadi"
"Drama, Mystery, Romance","Trois couleurs: Rouge",4043686,"8.1","Krzysztof Kieslowski"
"Drama","My Name Is Khan",4018695,"8","Karan Johar"
"Drama, Mystery, War","Incendies",6857096,"8.3","Denis Villeneuve"
"Drama, Family, Sport","Chak De! India",1113541,"8.2","Shimit Amin"
"Drama, Sport","Kai po che!",1122527,"7.7","Abhishek Kapoor"
"Drama","I Am Sam",40311852,"7.7","Jessie Nelson"
"Drama, Music, Musical","Cabaret",42765000,"7.8","Bob Fosse"
"Drama, Mystery, War","Apocalypse Now",83471511,"8.4","Francis Ford Coppola"
"Drama, Mystery, Thriller","Chinatown",29000000,"8.1","Roman Polanski"
"Drama, Mystery, Romance","El secreto de sus ojos",6391436,"8.2","Juan José Campanella"
