"yearlygross","director"
"4556619","Akira Kurosawa"
"4542825","Louis Malle"
"4489657","Jim Jarmusch"
"4445756","Vincent Paronnaud"
"4414535","Kenneth Branagh"
"4398392","Paul Verhoeven"
"4360000","James Whale"
"4231500","Ritesh Batra"
"4186168","Aditya Dhar"
"4091431","Joseph L. Mankiewicz"
"4065116","Francis Veber"
"4064200","Wolfgang Becker"
"4018695","Karan Johar"
"4000000","Mel Stuart"
"3823620","Rakeysh Omprakash Mehra"
"3823293","Orson Welles"
"3759854","Céline Sciamma"
"3635164","Christophe Barratier"
"3492754","Xavier Dolan"
"3358518","Hannes Holm"
"3334244","Kar-Wai Wong"
"3333000","Jemaine Clement"
"3313513","Hirokazu Koreeda"
"3270000","Lewis Milestone"
"3151130","Kevin Smith"
"3107072","Damián Szifron"
"3081925","Charlie Kaufman"
"3029081","John Cameron Mitchell"
"2921738","Yash Chopra"
"2862164","Neeraj Pandey"
"2852400","Paolo Sorrentino"
"2807390","Todd Solondz"
"2804874","Anurag Basu"
"2759558","Chan-wook Park"
"2650000","George Seaton"
"2619295","Ki-duk Kim"
"2616000","Jack Clayton"
"2537520","Sam Wood"
"2334965","Thomas Vinterberg"
"2280348","Tarsem Singh"
"2201126","Lee Tamahori"
"2199675","Abdellatif Kechiche"
"2161184","Andrey Zvyagintsev"
"2122065","Tomas Alfredson"
"2084637","Jacques Audiard"
"2000000","Noah Baumbach"
"1960218","Isao Takahata"
"1794187","Marc Caro"
"1787378","Nikkhil Advani"
"1786952","Satoshi Kon"
"1670773","Gauri Shinde"
"1661096","Nadine Labaki"
"1544889","Bruce Robinson"
"1543907","Tomm Moore"
"1498210","Yôjirô Takita"
"1480006","Richard Kelly"
"1429534","Vikas Bahl"
"1420642","Susanne Bier"
"1396712","Imtiaz Ali"
"1378435","Brian G. Hutton"
"1373943","Sriram Raghavan"
"1339152","Mark Osborne"
"1293387","Ashutosh Gowariker"
"1265043","Fritz Lang"
"1241223","Aniruddha Roy Chowdhury"
"1223869","Aamir Khan"
"1221261","Fabián Bielinsky"
"1185783","Cristian Mungiu"
"1122527","Abhishek Kapoor"
"1113541","Shimit Amin"
"1111061","Je-kyu Kang"
"1082715","Brad Anderson"
"1059830","Danis Tanovic"
"1054361","Christian Carion"
"1035953","Sujoy Ghosh"
"1033895","Clyde Bruckman"
"1010414","Destin Daniel Cretton"
"1000045","Shin'ichirô Watanabe"
"977375","Buster Keaton"
"933933","Majid Majidi"
"923221","Umesh Shukla"
"901610","Vishal Bhardwaj"
"871577","Anton Corbijn"
"845464","Deniz Gamze Ergüven"
"799757","Emir Kusturica"
"765127","James Simone"
"741283","Fatih Akin"
"739478","Nishikant Kamat"
"733094","Sanjay Leela Bhansali"
"697181","Gregg Araki"
"654000","Charles Laughton"
"553171","Katsuhiro Ôtomo"
"548707","Yann Samuell"
"539540","F.W. Murnau"
"515905","Mamoru Oshii"
"514089","Andrei Tarkovsky"
"449191","Carol Reed"
"435266","Martin Zandvliet"
"342370","Meghna Gulzar"
"336705","Jean-Luc Godard"
"335609","Francis Lee"
"333932","Shane Meadows"
"332930","Vittorio De Sica"
"309811","Mathieu Kassovitz"
"304250","Nuri Bilge Ceylan"
"300000","Farhan Akhtar"
"258168","Ken Loach"
"233986","Takeshi Kitano"
"225140","Luis Buñuel"
"203300","Ernst Lubitsch"
"193817","René Laloux"
"181655","Lukas Moodysson"
"175058","Felix van Groeningen"
"172885","Jean Renoir"
"169659","Andrew Lau"
"169209","Shoojit Sircar"
"151086","Yoshiaki Kawajiri"
"144501","Zaza Urushadze"
"128392","Jee-woon Kim"
"108179","José Padilha"
"88300","Alain Resnais"
"83861","Cary Joji Fukunaga"
"61001","Alejandro Jodorowsky"
"57226","Jules Dassin"
"55908","Gillo Pontecorvo"
"52709","Georges Franju"
"50970","Sergei M. Eisenstein"
"39567","Tigmanshu Dhulia"
"39481","Jean-Pierre Melville"
"25812","Troy Duffy"
"21877","Carl Theodor Dreyer"
"15280","Mikael Håfström"
"10950","Anurag Kashyap"
"7461","Vikramaditya Motwane"
"6460","Jeong-beom Lee"
"3600","Jaco Van Dormael"
"3296","Thomas Jahn"
"1305","Anders Thomas Jensen"
