"yearlygross","star1"
"11487676","Jürgen Prochnow"
"11403529","Rod Taylor"
"11370901","Charles Chaplin"
"11286112","Ulrich Mühe"
"10900000","Emeric Pressburger"
"10824921","Ron Livingston"
"10600000","Griffin Dunne"
"10301706","Marion Cotillard"
"10095170","Michael Nyqvist"
"10055859","Daveigh Chase"
"10019307","Liesel Matthews"
"10000000","Ernest B. Schoedsack"
"9929135","Jonathan Pryce"
"9736508","Henry Fonda"
"9472562","Ray Milland"
"9450000","Gary Cooper"
"9439923","Glen Hansard"
"9422422","Richard Jenkins"
"9284265","Rosario Flores"
"9277214","Shah Rukh Khan"
"9030581","Asa Butterfield"
"8843009","Bruno Ganz"
"8819028","Gene Kelly"
"8551228","Isabella Rossellini"
"8441254","Laurence Olivier"
"8264530","Cecilia Roth"
"8178001","Salman Khan"
"8175000","Tyrone Power"
"8000000","Vivien Leigh"
"7993039","Jason London"
"7757130","Colin Farrell"
"7630000","Farley Granger"
"7612697","Ricardo Darín"
"7563397","Kátia Lund"
"7281432","Jean-Louis Trintignant"
"7098492","Payman Maadi"
"7056013","Jon Voight"
"7002255","Michèle Caucheteux"
"6857096","Lubna Azabal"
"6743776","Thomas Mann"
"6735118","Hugh Welchman"
"6730926","Iko Uwais"
"6248243","Laura Obiols"
"6207725","Malcolm McDowell"
"6203044","Richard Farnsworth"
"6110979","Andie MacDowell"
"6043641","Irène Jacob"
"5923044","Bruce Campbell"
"5904366","Brooklynn Prince"
"5739376","Peter Dinklage"
"5720000","Fred MacMurray"
"5617391","Boyd Kirkland"
"5595428","Fernanda Montenegro"
"5566534","Vijay Varma"
"5383834","Emilio Echevarría"
"5216888","Leslie Cheung"
"5209580","Hideaki Anno"
"5100000","David Emge"
"5017246","Ryûnosuke Kamiki"
"5009677","Sam Rockwell"
"4971340","Bertil Guve"
"4905000","Yul Brynner"
"4890878","Eileen Walsh"
"4711096","Chieko Baishô"
"4613437","Irrfan Khan"
"4542825","Gaspard Manesse"
"4496583","Damian Chapa"
"4445756","Marjane Satrapi"
"4414535","Kenneth Branagh"
"4398392","Carice van Houten"
"4360000","Clark Gable"
"4360000","Gene Tierney"
"4360000","Boris Karloff"
"4186168","Vicky Kaushal"
"4184036","Björk"
"4135750","Tatsuya Nakadai"
"4065116","Thierry Lhermitte"
"4060177","Bette Davis"
"4040691","Emily Watson"
"3981000","William Keighley"
"3897569","Jason Flemyng"
"3796699","Bill Pullman"
"3790786","Ranbir Kapoor"
"3759854","Noémie Merlant"
"3635164","Gérard Jugnot"
"3492754","Anne Dorval"
"3358518","Rolf Lassgård"
"3333000","Taika Waititi"
"3313513","Lily Franky"
"3270000","Lew Ayres"
"3237118","Ferdia Walsh-Peelo"
"3185812","Antonio Banderas"
"3151130","Brian O'Halloran"
"3108485","Hrithik Roshan"
"3107072","Darío Grandinetti"
