"genre","series_title","gross","imdb_rating","director"
"Action, Comedy, Mystery","Hot Fuzz",23637265,"7.8","Edgar Wright"
"Action, Adventure, Thriller","Casino Royale",167445960,"8","Martin Campbell"
"Action, Adventure, Thriller","Skyfall",304360277,"7.7","Sam Mendes"
"Action, Adventure, Fantasy","Avatar",760507625,"7.8","James Cameron"
"Action, Adventure, Sci-Fi","Edge of Tomorrow",100206256,"7.9","Doug Liman"
"Action, Crime, Drama","End of Watch",41003371,"7.6","David Ayer"
"Action, Crime, Drama","Léon",19501238,"8.5","Luc Besson"
"Action, Adventure, Sci-Fi","Captain America: Civil War",408084349,"7.8","Anthony Russo"
"Action, Adventure","The Dark Knight Rises",448139099,"8.4","Christopher Nolan"
"Action, Adventure, Sci-Fi","Captain America: The Winter Soldier",259766572,"7.7","Anthony Russo"
"Action, Drama, Mystery","Oldeuboi",707481,"8.4","Chan-wook Park"
"Action, Adventure","Indiana Jones and the Last Crusade",197171806,"8.2","Steven Spielberg"
"Action, Drama, Mystery","Watchmen",107509799,"7.6","Zack Snyder"
"Action, Adventure, History","Ying xiong",53710019,"7.9","Yimou Zhang"
"Action, Adventure, Drama","The Lord of the Rings: The Fellowship of the Ring",315544750,"8.8","Peter Jackson"
