"imdb_rating","gross","genre","series_title","director"
"7.7",274092705,"Drama, Sci-Fi, Thriller","Gravity","Alfonso Cuarón"
"7.7",277322503,"Comedy","The Hangover","Todd Phillips"
"7.7",290013036,"Adventure, Family, Fantasy","Harry Potter and the Goblet of Fire","Mike Newell"
"7.7",295983305,"Adventure, Family, Fantasy","Harry Potter and the Deathly Hallows: Part 1","David Yates"
"7.7",304360277,"Action, Adventure, Thriller","Skyfall","Sam Mendes"
"7.7",324591735,"Action, Adventure, Comedy","Deadpool 2","David Leitch"
"7.6",6013,"Crime, Drama, Thriller","Dead Man's Shoes","Shane Meadows"
"7.6",45289,"Crime, Drama, Thriller","Boksuneun naui geot","Chan-wook Park"
"7.6",453243,"Animation, Drama, Romance","Omohide poro poro","Isao Takahata"
"7.6",548707,"Comedy, Drama, Romance","Jeux d'enfants","Yann Samuell"
"7.6",566356,"Drama","Nelyubov","Andrey Zvyagintsev"
"7.6",686383,"Animation, Adventure, Family","The Secret of Kells","Tomm Moore"
"7.6",696690,"Drama, War, Western","Giù la testa","Sergio Leone"
"7.6",697181,"Drama","Mysterious Skin","Gregg Araki"
"7.6",845464,"Drama","Mustang","Deniz Gamze Ergüven"
"7.6",959000,"Comedy, Crime, Drama","The Long Goodbye","Robert Altman"
"7.6",1008098,"Drama, Romance","Hævnen","Susanne Bier"
"7.6",1037847,"Adventure, Drama, Fantasy","Dead Man","Jim Jarmusch"
"7.6",1092800,"Crime, Drama","Leviafan","Andrey Zvyagintsev"
"7.6",1378435,"Adventure, Comedy, War","Kelly's Heroes","Brian G. Hutton"
"7.6",1464625,"Comedy, Drama, Romance","Trois couleurs: Blanc","Krzysztof Kieslowski"
"7.6",1794187,"Comedy, Crime","Delicatessen","Marc Caro"
"7.6",2150000,"Crime, Drama, Thriller","Blood Simple","Joel Coen"
"7.6",3081925,"Drama","Synecdoche, New York","Charlie Kaufman"
"7.6",3185812,"Drama, Horror, Thriller","La piel que habito","Pedro Almodóvar"
"7.6",3796699,"Mystery, Thriller","Lost Highway","David Lynch"
"7.6",4105123,"Action, Thriller","Serbuan maut","Gareth Evans"
"7.6",5739376,"Comedy, Drama","The Station Agent","Tom McCarthy"
"7.6",5904366,"Drama","The Florida Project","Sean Baker"
"7.6",6167817,"Drama, Mystery, Romance","Un long dimanche de fiançailles","Jean-Pierre Jeunet"
"7.6",7267585,"Crime, Drama, Thriller","Lola rennt","Tom Tykwer"
"7.6",7993039,"Comedy","Dazed and Confused","Richard Linklater"
"7.6",9422422,"Drama","The Visitor","Tom McCarthy"
"7.6",10301706,"Biography, Drama, Music","La Vie En Rose","Olivier Dahan"
"7.6",10680275,"Adventure, Comedy, Drama","Fear and Loathing in Las Vegas","Terry Gilliam"
"7.6",12465371,"Action, Adventure, Sci-Fi","Mad Max 2","George Miller"
"7.6",13060843,"Drama","25th Hour","Spike Lee"
"7.6",13122642,"Adventure, Comedy, Drama","The Peanut Butter Falcon","Tyler Nilson"
"7.6",13622333,"Drama","Y tu mamá también","Alfonso Cuarón"
"7.6",13780024,"Comedy, Music, Musical","A Hard Day's Night","Richard Lester"
"7.6",14378331,"Mystery, Sci-Fi, Thriller","Dark City","Alex Proyas"
"7.6",15070285,"Comedy, Crime, Drama","American Psycho","Mary Harron"
"7.6",16290476,"Crime, Drama, Thriller","21 Grams","Alejandro G. Iñárritu"
"7.6",17114882,"Action, Crime, Drama","Eastern Promises","David Cronenberg"
"7.6",18340051,"Action, Biography, Drama","Only the Brave","Joseph Kosinski"
"7.6",19202743,"Animation, Adventure, Family","Kari-gurashi no Arietti","Hiromasa Yonebayashi"
"7.6",20300218,"Crime, Drama, Mystery","Gone Baby Gone","Ben Affleck"
"7.6",22490039,"Action, Crime, Thriller","The Warriors","Walter Hill"
"7.6",23089926,"Drama, Romance, Thriller","Match Point","Woody Allen"
"7.6",24149632,"Action, Crime, Drama","Lord of War","Andrew Niccol"
"7.6",24633730,"Action, Biography, Drama","Huo Yuan Jia","Ronny Yu"
"7.6",24801212,"Drama","Gifted","Marc Webb"
"7.6",26020957,"Drama, Mystery, Thriller","Searching","Aneesh Chaganty"
"7.6",26862450,"Action, Crime, Drama","Hell or High Water","David Mackenzie"
"7.6",30500000,"Drama, Romance, War","From Here to Eternity","Fred Zinnemann"
"7.6",35000000,"Biography, Crime, Drama","Midnight Express","Alan Parker"
"7.6",35014192,"Comedy, Drama, Romance","50/50","Jonathan Levine"
"7.6",36400491,"Drama, War","The Thin Red Line","Terrence Malick"
"7.6",37707719,"Biography, Comedy, Drama","Philomena","Stephen Frears"
"7.6",38634938,"Adventure, Family, Fantasy","Stardust","Matthew Vaughn"
"7.6",39868642,"Drama, Fantasy, Mystery","The Illusionist","Neil Burger"
"7.6",40903593,"Action, Crime, Drama","Falling Down","Joel Schumacher"
"7.6",41003371,"Action, Crime, Drama","End of Watch","David Ayer"
"7.6",43000000,"Action, Biography, Crime","Escape from Alcatraz","Don Siegel"
"7.6",43182776,"Drama, Romance","Sense and Sensibility","Ang Lee"
"7.6",45064915,"Drama, Horror, Sci-Fi","28 Days Later...","Danny Boyle"
"7.6",46889293,"Action, Crime, Drama","Sicario","Denis Villeneuve"
"7.6",48071303,"Action, Comedy, Crime","Kick-Ass","Matthew Vaughn"
"7.6",49100000,"Crime, Drama, Thriller","Sleepers","Barry Levinson"
"7.6",49530280,"Comedy, Drama","Planes, Trains & Automobiles","John Hughes"
"7.6",50668906,"Biography, Drama, Sport","The Hurricane","Norman Jewison"
"7.6",51401758,"Drama, History, War","Enemy at the Gates","Jean-Jacques Annaud"
"7.6",51680613,"Biography, Drama, Family","Finding Neverland","Marc Forster"
"7.6",52364010,"Comedy, Drama","The Royal Tenenbaums","Wes Anderson"
"7.6",52929168,"Comedy, Crime","My Cousin Vinny","Jonathan Lynn"
"7.6",52990775,"Biography, Crime, Drama","Blow","Ted Demme"
"7.6",56000369,"Horror, Mystery, Thriller","Saw","James Wan"
"7.6",57938693,"Drama, Sci-Fi, Thriller","The Butterfly Effect","Eric Bress"
"7.6",65207127,"Action, Crime, Thriller","Lethal Weapon","Richard Donner"
"7.6",66666062,"Crime, Drama","The Godfather: Part III","Francis Ford Coppola"
"7.6",69951824,"Drama","Seven Pounds","Gabriele Muccino"
"7.6",71516617,"Drama, Romance","The Bridges of Madison County","Clint Eastwood"
"7.6",72313754,"Drama, History, Thriller","Bridge of Spies","Steven Spielberg"
"7.6",75590286,"Adventure, Comedy, Fantasy","Zombieland","Ruben Fleischer"
"7.6",75605492,"Biography, Drama, Sport","Moneyball","Bennett Miller"
"7.6",76657000,"Adventure, Comedy, Family","The Muppet Movie","James Frawley"
"7.6",78756177,"Comedy, Crime","The Naked Gun: From the Files of Police Squad!","David Zucker"
"7.6",88513495,"Crime, Drama, Mystery","Inside Man","Spike Lee"
"7.6",92823600,"Comedy, Drama, Romance","When Harry Met Sally...","Rob Reiner"
"7.6",96522687,"Horror, Mystery, Thriller","The Others","Alejandro Amenábar"
"7.6",100012499,"Action, Adventure, Thriller","Die Hard: With a Vengeance","John McTiernan"
"7.6",107509799,"Action, Drama, Mystery","Watchmen","Zack Snyder"
"7.6",107825862,"Action, Crime, Drama","Baby Driver","Edgar Wright"
"7.6",109767581,"Drama, Sport","Creed","Ryan Coogler"
"7.6",111543479,"Animation, Family, Fantasy","The Little Mermaid","Ron Clements"
"7.6",119285432,"Drama","On Golden Pond","Mark Rydell"
"7.6",120620254,"Animation, Adventure, Family","Mulan","Tony Bancroft"
"7.6",132072926,"Action, Crime, Mystery","Minority Report","Steven Spielberg"
"7.6",132088635,"Drama, Sci-Fi","Close Encounters of the Third Kind","Steven Spielberg"
"7.6",141843612,"Animation, Adventure, Family","The Jungle Book","Wolfgang Reitherman"
"7.6",142502728,"Comedy, Drama","Once Upon a Time... in Hollywood","Quentin Tarantino"
"7.6",171243005,"Drama, Western","True Grit","Ethan Coen"
"7.6",173837933,"Adventure, Drama, History","Apollo 13","Ron Howard"
"7.6",208545589,"Action, Adventure, Drama","Dawn of the Planet of the Apes","Matt Reeves"
"7.6",209028679,"Action, Adventure, Mystery","Sherlock Holmes","Guy Ritchie"
"7.6",210614939,"Action, Drama","300","Zack Snyder"
"7.6",215288866,"Drama, Music, Romance","A Star Is Born","Bradley Cooper"
"7.6",248757044,"Animation, Adventure, Comedy","Moana","Ron Clements"
"7.6",251513985,"Animation, Comedy, Crime","Despicable Me","Pierre Coffin"
"7.6",255959475,"Biography, Drama, Sport","The Blind Side","John Lee Hancock"
"7.6",285761243,"Comedy, Family","Home Alone","Chris Columbus"
"7.6",301959197,"Action, Adventure, Family","Harry Potter and the Half-Blood Prince","David Yates"
"7.6",317575550,"Adventure, Family, Fantasy","Harry Potter and the Sorcerer's Stone","Chris Columbus"
"7.6",389813101,"Action, Adventure, Comedy","Guardians of the Galaxy Vol. 2","James Gunn"
"7.6",608581744,"Animation, Action, Adventure","Incredibles 2","Brad Bird"
