"imdb_rating","gross","genre","series_title","director"
"8.1",3108485,"Comedy, Drama","Zindagi Na Milegi Dobara","Zoya Akhtar"
"8.1",3492754,"Drama","Mommy","Xavier Dolan"
"8.1",3759854,"Drama, Romance","Portrait de la jeune fille en feu","Céline Sciamma"
"8.1",3969893,"Drama, Film-Noir","Ace in the Hole","Billy Wilder"
"8.1",4043686,"Drama, Mystery, Romance","Trois couleurs: Rouge","Krzysztof Kieslowski"
"8.1",4050000,"Drama, Horror, Thriller","What Ever Happened to Baby Jane?","Robert Aldrich"
"8.1",4360000,"Comedy, Romance","It Happened One Night","Frank Capra"
"8.1",4360000,"Drama, Mystery, Romance","Rebecca","Alfred Hitchcock"
"8.1",4971340,"Drama","Fanny och Alexander","Ingmar Bergman"
"8.1",5216888,"Drama, Music, Romance","Ba wang bie ji","Kaige Chen"
"8.1",5383834,"Drama, Thriller","Amores perros","Alejandro G. Iñárritu"
"8.1",5535405,"Drama, Romance","Before Sunrise","Richard Linklater"
"8.1",5820649,"Drama, Romance","Before Sunset","Richard Linklater"
"8.1",9600000,"Comedy, Drama","Mr. Smith Goes to Washington","Frank Capra"
"8.1",9600000,"Crime, Drama, Thriller","On the Waterfront","Elia Kazan"
"8.1",10616104,"Comedy, Drama, Musical","PK","Rajkumar Hirani"
"8.1",10900000,"Drama, Music, Romance","The Red Shoes","Michael Powell"
"8.1",13782838,"Horror, Mystery, Sci-Fi","The Thing","John Carpenter"
"8.1",14677674,"Drama, Thriller","Room","Lenny Abrahamson"
"8.1",16217773,"Crime, Drama","Cool Hand Luke","Stuart Rosenberg"
"8.1",16501785,"Drama","Trainspotting","Danny Boyle"
"8.1",17498804,"Comedy, Crime, Sport","The Big Lebowski","Joel Coen"
"8.1",18354356,"Adventure, Biography, Drama","Into the Wild","Sean Penn"
"8.1",20045115,"Comedy","Life of Brian","Terry Jones"
"8.1",22244207,"Drama, Fantasy, Music","Pink Floyd: The Wall","Alan Parker"
"8.1",23530892,"Biography, Drama, History","Hotel Rwanda","Terry George"
"8.1",24611975,"Crime, Drama, Thriller","Fargo","Joel Coen"
"8.1",25010410,"Biography, Crime, Drama","In the Name of the Father","Jim Sheridan"
"8.1",26947624,"Action, Biography, Drama","Rush","Ron Howard"
"8.1",29000000,"Drama, Mystery, Thriller","Chinatown","Roman Polanski"
"8.1",30933743,"Comedy, Crime, Drama","Paper Moon","Peter Bogdanovich"
"8.1",32868943,"Action, Sci-Fi, Thriller","Blade Runner","Ridley Scott"
"8.1",44908000,"Adventure, Drama, War","The Bridge on the River Kwai","David Lean"
"8.1",45055776,"Biography, Crime, Drama","Spotlight","Tom McCarthy"
"8.1",48979328,"Drama, War","The Deer Hunter","Michael Cimino"
"8.1",52287414,"Adventure, Drama","Stand by Me","Rob Reiner"
"8.1",56671993,"Biography, Drama, History","12 Years a Slave","Steve McQueen"
"8.1",59100318,"Adventure, Comedy, Crime","The Grand Budapest Hotel","Wes Anderson"
"8.1",61002302,"Crime, Drama, Mystery","Prisoners","Denis Villeneuve"
"8.1",67209615,"Biography, Drama, History","Hacksaw Ridge","Mel Gibson"
"8.1",70099045,"Action, Crime, Drama","Kill Bill: Vol. 1","Quentin Tarantino"
"8.1",74283625,"Crime, Drama, Thriller","No Country for Old Men","Ethan Coen"
"8.1",74700000,"Adventure, Drama, History","Ben-Hur","William Wyler"
"8.1",95860116,"Comedy, Drama","Dead Poets Society","Peter Weir"
"8.1",100492203,"Drama, Sport","Million Dollar Baby","Clint Eastwood"
"8.1",117235247,"Drama, Sport","Rocky","John G. Avildsen"
"8.1",117624028,"Action, Biography, Drama","Ford v Ferrari","James Mangold"
"8.1",125618201,"Comedy, Drama","The Truman Show","Peter Weir"
"8.1",138530565,"Drama, War","Platoon","Oliver Stone"
